Name: Luis Angel Cabral Guzman
Date: 2021-07-20

COMBINATION ID., IMAGE NUMBER., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, TTC LIDAR, TTC CAMERA, 
1, 0, HARRIS, BRISK, 1, 6.64187e-317, 0
3, 5, HARRIS, ORB, 7, 6.63707e-317, 0
3, 6, HARRIS, ORB, 8, 6.63781e-317, 0
3, 7, HARRIS, ORB, 10, 6.64106e-317, 0
3, 8, HARRIS, ORB, 5, 1.72635e+243, 0
3, 9, HARRIS, ORB, 4, 7.89235e+34, 0
3, 10, HARRIS, ORB, 12, 4.2451e+175, 0
3, 11, HARRIS, ORB, 5, 4.25101e+228, 0
3, 12, HARRIS, ORB, 5, 0, 0
3, 13, HARRIS, ORB, 5, 0, 0
3, 14, HARRIS, ORB, 5, 5.28561e+180, 0
3, 15, HARRIS, ORB, 8, 2.57383e+185, 0
3, 16, HARRIS, ORB, 9, 9.88131e-324, 0
3, 17, HARRIS, ORB, 1, 0, 0

4, 0, HARRIS, FREAK, 1, 6.64187e-317, 0
4, 1, HARRIS, FREAK, 6, 6.57252e-317, 0
4, 2, HARRIS, FREAK, 4, 6.57288e-317, 0
4, 3, HARRIS, FREAK, 4, 6.59903e-317, 0
4, 4, HARRIS, FREAK, 10, 6.63657e-317, 0
4, 5, HARRIS, FREAK, 7, 6.63707e-317, 0
4, 6, HARRIS, FREAK, 8, 6.63781e-317, 0
4, 7, HARRIS, FREAK, 10, 6.64106e-317, 0
4, 8, HARRIS, FREAK, 5, 1.72635e+243, 0
4, 9, HARRIS, FREAK, 4, 7.89235e+34, 0
4, 10, HARRIS, FREAK, 12, 4.2451e+175, 0
4, 11, HARRIS, FREAK, 5, 4.25101e+228, 0
4, 12, HARRIS, FREAK, 5, 0, 0
4, 13, HARRIS, FREAK, 5, 0, 0
4, 14, HARRIS, FREAK, 5, 5.28561e+180, 0
4, 15, HARRIS, FREAK, 8, 2.57383e+185, 0
4, 16, HARRIS, FREAK, 9, 9.88131e-324, 0
4, 17, HARRIS, FREAK, 1, 0, 0

5, 0, HARRIS, SIFT, 1, 6.64187e-317, 0
5, 1, HARRIS, SIFT, 6, 6.57252e-317, 0
5, 2, HARRIS, SIFT, 4, 6.57288e-317, 0
5, 3, HARRIS, SIFT, 4, 6.59903e-317, 0
5, 4, HARRIS, SIFT, 10, 6.63657e-317, 0
5, 5, HARRIS, SIFT, 7, 6.63707e-317, 0
5, 6, HARRIS, SIFT, 8, 6.63781e-317, 0
5, 7, HARRIS, SIFT, 10, 6.64106e-317, 0
5, 8, HARRIS, SIFT, 5, 1.72635e+243, 0
5, 9, HARRIS, SIFT, 4, 7.89235e+34, 0
5, 10, HARRIS, SIFT, 12, 4.2451e+175, 0
5, 11, HARRIS, SIFT, 5, 4.25101e+228, 0
5, 12, HARRIS, SIFT, 5, 0, 0
5, 13, HARRIS, SIFT, 5, 0, 0
5, 14, HARRIS, SIFT, 5, 5.28561e+180, 0
5, 15, HARRIS, SIFT, 8, 2.57383e+185, 0
5, 16, HARRIS, SIFT, 9, 9.88131e-324, 0
5, 17, HARRIS, SIFT, 1, 0, 0

6, 0, SHITOMASI, BRISK, 1723, 6.64187e-317, 0
6, 1, SHITOMASI, BRISK, 1759, 12.2891, 14.2804
6, 2, SHITOMASI, BRISK, 1820, 13.3547, 14.8169
6, 3, SHITOMASI, BRISK, 1850, 16.3845, -inf
6, 4, SHITOMASI, BRISK, 1828, 14.0764, 12.6346
6, 5, SHITOMASI, BRISK, 1806, 12.7299, 13.1191
6, 6, SHITOMASI, BRISK, 1877, 13.7511, -inf
6, 7, SHITOMASI, BRISK, 1894, 13.7314, -inf
6, 8, SHITOMASI, BRISK, 1889, 13.7901, -inf
6, 9, SHITOMASI, BRISK, 1917, 12.059, -inf
6, 10, SHITOMASI, BRISK, 1874, 11.8642, -inf
6, 11, SHITOMASI, BRISK, 1912, 11.9682, 12.1532
6, 12, SHITOMASI, BRISK, 1930, 9.88711, 12.7628
6, 13, SHITOMASI, BRISK, 1881, 9.42504, 12.9935
6, 14, SHITOMASI, BRISK, 1886, 9.30215, 13.2737
6, 15, SHITOMASI, BRISK, 1957, 8.3212, 13.0359
6, 16, SHITOMASI, BRISK, 1888, 8.89867, 11.5174
6, 17, SHITOMASI, BRISK, 1919, 11.0301, 13.1532

7, 0, SHITOMASI, BRIEF, 1723, 6.64187e-317, 0
7, 1, SHITOMASI, BRIEF, 1759, 12.2891, 14.1063
7, 2, SHITOMASI, BRIEF, 1820, 13.3547, 14.7443
7, 3, SHITOMASI, BRIEF, 1850, 16.3845, 23.6913
7, 4, SHITOMASI, BRIEF, 1828, 14.0764, 14.0339
7, 5, SHITOMASI, BRIEF, 1806, 12.7299, 13.4042
7, 6, SHITOMASI, BRIEF, 1877, 13.7511, 15.3175
7, 7, SHITOMASI, BRIEF, 1894, 13.7314, 16.6164
7, 8, SHITOMASI, BRIEF, 1889, 13.7901, 15.3567
7, 9, SHITOMASI, BRIEF, 1917, 12.059, 12.5041
7, 10, SHITOMASI, BRIEF, 1874, 11.8642, 15.1652
7, 11, SHITOMASI, BRIEF, 1912, 11.9682, 12.2587
7, 12, SHITOMASI, BRIEF, 1930, 9.88711, 12.287
7, 13, SHITOMASI, BRIEF, 1881, 9.42504, 12.8264
7, 14, SHITOMASI, BRIEF, 1886, 9.30215, 15.0113
7, 15, SHITOMASI, BRIEF, 1957, 8.3212, 13.0662
7, 16, SHITOMASI, BRIEF, 1888, 8.89867, 13.4724
7, 17, SHITOMASI, BRIEF, 1919, 11.0301, 13.769

8, 0, SHITOMASI, ORB, 1723, 6.64187e-317, 0
8, 1, SHITOMASI, ORB, 1759, 12.2891, 13.9687
8, 2, SHITOMASI, ORB, 1820, 13.3547, 17.8637
8, 3, SHITOMASI, ORB, 1850, 16.3845, 15.101
8, 4, SHITOMASI, ORB, 1828, 14.0764, 12.083
8, 5, SHITOMASI, ORB, 1806, 12.7299, 13.666
8, 6, SHITOMASI, ORB, 1877, 13.7511, 14.611
8, 7, SHITOMASI, ORB, 1894, 13.7314, 13.9503
8, 8, SHITOMASI, ORB, 1889, 13.7901, 15.3567
8, 9, SHITOMASI, ORB, 1917, 12.059, 12.5041
8, 10, SHITOMASI, ORB, 1874, 11.8642, -inf
8, 11, SHITOMASI, ORB, 1912, 11.9682, 12.1991
8, 12, SHITOMASI, ORB, 1930, 9.88711, 12.8061
8, 13, SHITOMASI, ORB, 1881, 9.42504, 12.8865
8, 14, SHITOMASI, ORB, 1886, 9.30215, 12.9139
8, 15, SHITOMASI, ORB, 1957, 8.3212, 15.3186
8, 16, SHITOMASI, ORB, 1888, 8.89867, 13.4974
8, 17, SHITOMASI, ORB, 1919, 11.0301, 13.6593

9, 0, SHITOMASI, FREAK, 1723, 6.64187e-317, 0
9, 1, SHITOMASI, FREAK, 1759, 12.2891, 315.598
9, 2, SHITOMASI, FREAK, 1820, 13.3547, 13.5598
9, 3, SHITOMASI, FREAK, 1850, 16.3845, 13.9668
9, 4, SHITOMASI, FREAK, 1828, 14.0764, 12.6561
9, 5, SHITOMASI, FREAK, 1806, 12.7299, 12.7784
9, 6, SHITOMASI, FREAK, 1877, 13.7511, -inf
9, 7, SHITOMASI, FREAK, 1894, 13.7314, 15.1846
9, 8, SHITOMASI, FREAK, 1889, 13.7901, -inf
9, 9, SHITOMASI, FREAK, 1917, 12.059, 12.6
9, 10, SHITOMASI, FREAK, 1874, 11.8642, -inf
9, 11, SHITOMASI, FREAK, 1912, 11.9682, 11.9856
9, 12, SHITOMASI, FREAK, 1930, 9.88711, 13.1103
9, 13, SHITOMASI, FREAK, 1881, 9.42504, 13.4431
9, 14, SHITOMASI, FREAK, 1886, 9.30215, 12.7102
9, 15, SHITOMASI, FREAK, 1957, 8.3212, 14.2707
9, 16, SHITOMASI, FREAK, 1888, 8.89867, 11.8381
9, 17, SHITOMASI, FREAK, 1919, 11.0301, 13.0008

10, 0, SHITOMASI, SIFT, 1723, 6.64187e-317, 0
10, 1, SHITOMASI, SIFT, 1759, 12.2891, -inf
10, 2, SHITOMASI, SIFT, 1820, 13.3547, 14.7601
10, 3, SHITOMASI, SIFT, 1850, 16.3845, 14.5772
10, 4, SHITOMASI, SIFT, 1828, 14.0764, 13.1113
10, 5, SHITOMASI, SIFT, 1806, 12.7299, 13.4476
10, 6, SHITOMASI, SIFT, 1877, 13.7511, 15.3175
10, 7, SHITOMASI, SIFT, 1894, 13.7314, 16.1019
10, 8, SHITOMASI, SIFT, 1889, 13.7901, 15.3567
10, 9, SHITOMASI, SIFT, 1917, 12.059, 12.5312
10, 10, SHITOMASI, SIFT, 1874, 11.8642, 15.1652
10, 11, SHITOMASI, SIFT, 1912, 11.9682, 12.3726
10, 12, SHITOMASI, SIFT, 1930, 9.88711, 12.8061
10, 13, SHITOMASI, SIFT, 1881, 9.42504, 12.898
10, 14, SHITOMASI, SIFT, 1886, 9.30215, 15.0113
10, 15, SHITOMASI, SIFT, 1957, 8.3212, 12.4656
10, 16, SHITOMASI, SIFT, 1888, 8.89867, 13.4724
10, 17, SHITOMASI, SIFT, 1919, 11.0301, 13.6593

11, 0, FAST, BRISK, 1864, 6.64187e-317, 0
11, 1, FAST, BRISK, 1898, 12.2891, 12.478
11, 2, FAST, BRISK, 1865, 13.3547, 13.8905
11, 3, FAST, BRISK, 1840, 16.3845, 17.6476
11, 4, FAST, BRISK, 1867, 14.0764, 12.9486
11, 5, FAST, BRISK, 1876, 12.7299, -inf
11, 6, FAST, BRISK, 1843, 13.7511, -inf
11, 7, FAST, BRISK, 1829, 13.7314, 12.102
11, 8, FAST, BRISK, 1843, 13.7901, 12.3396
11, 9, FAST, BRISK, 1818, 12.059, -inf
11, 10, FAST, BRISK, 1879, 11.8642, -inf
11, 11, FAST, BRISK, 1849, 11.9682, 13.3087
11, 12, FAST, BRISK, 1826, 9.88711, 12.7731
11, 13, FAST, BRISK, 1842, 9.42504, 12.963
11, 14, FAST, BRISK, 1833, 9.30215, 12.3291
11, 15, FAST, BRISK, 1921, 8.3212, -inf
11, 16, FAST, BRISK, 1934, 8.89867, 13.8118
11, 17, FAST, BRISK, 1946, 11.0301, 10.9228

12, 0, FAST, BRIEF, 1864, 6.64187e-317, 0
12, 1, FAST, BRIEF, 1898, 12.2891, 12.2508
12, 2, FAST, BRIEF, 1865, 13.3547, 13.2849
12, 3, FAST, BRIEF, 1840, 16.3845, 15.0485
12, 4, FAST, BRIEF, 1867, 14.0764, 14.0692
12, 5, FAST, BRIEF, 1876, 12.7299, -inf
12, 6, FAST, BRIEF, 1843, 13.7511, 57.5193
12, 7, FAST, BRIEF, 1829, 13.7314, 12.4641
12, 8, FAST, BRIEF, 1843, 13.7901, 12.7714
12, 9, FAST, BRIEF, 1818, 12.059, 14.0692
12, 10, FAST, BRIEF, 1879, 11.8642, 16.6164
12, 11, FAST, BRIEF, 1849, 11.9682, 13.6975
12, 12, FAST, BRIEF, 1826, 9.88711, 13
12, 13, FAST, BRIEF, 1842, 9.42504, 13.2008
12, 14, FAST, BRIEF, 1833, 9.30215, 12.8545
12, 15, FAST, BRIEF, 1921, 8.3212, 12.69
12, 16, FAST, BRIEF, 1934, 8.89867, 13.0766
12, 17, FAST, BRIEF, 1946, 11.0301, 11.4

13, 0, FAST, ORB, 1864, 6.64187e-317, 0
13, 1, FAST, ORB, 1898, 12.2891, 12.3222
13, 2, FAST, ORB, 1865, 13.3547, 13.0755
13, 3, FAST, ORB, 1840, 16.3845, 17.0466
13, 4, FAST, ORB, 1867, 14.0764, 14.0808
13, 5, FAST, ORB, 1876, 12.7299, -inf
13, 6, FAST, ORB, 1843, 13.7511, 58.4409
13, 7, FAST, ORB, 1829, 13.7314, 12.5589
13, 8, FAST, ORB, 1843, 13.7901, 12.6563
13, 9, FAST, ORB, 1818, 12.059, 14.0786
13, 10, FAST, ORB, 1879, 11.8642, 17.1469
13, 11, FAST, ORB, 1849, 11.9682, 14.1613
13, 12, FAST, ORB, 1826, 9.88711, 13.0458
13, 13, FAST, ORB, 1842, 9.42504, 13.6303
13, 14, FAST, ORB, 1833, 9.30215, 13.2225
13, 15, FAST, ORB, 1921, 8.3212, 12.5199
13, 16, FAST, ORB, 1934, 8.89867, 13.7875
13, 17, FAST, ORB, 1946, 11.0301, 12.0336

14, 0, FAST, FREAK, 1864, 6.64187e-317, 0
14, 1, FAST, FREAK, 1898, 12.2891, 11.9072
14, 2, FAST, FREAK, 1865, 13.3547, 27.5732
14, 3, FAST, FREAK, 1840, 16.3845, 14.8874
14, 4, FAST, FREAK, 1867, 14.0764, 13.6141
14, 5, FAST, FREAK, 1876, 12.7299, -inf
14, 6, FAST, FREAK, 1843, 13.7511, -inf
14, 7, FAST, FREAK, 1829, 13.7314, 12.828
14, 8, FAST, FREAK, 1843, 13.7901, 11.8144
14, 9, FAST, FREAK, 1818, 12.059, -inf
14, 10, FAST, FREAK, 1879, 11.8642, 14.7747
14, 11, FAST, FREAK, 1849, 11.9682, -inf
14, 12, FAST, FREAK, 1826, 9.88711, 12.9123
14, 13, FAST, FREAK, 1842, 9.42504, 13.284
14, 14, FAST, FREAK, 1833, 9.30215, 12.5456
14, 15, FAST, FREAK, 1921, 8.3212, 13.7934
14, 16, FAST, FREAK, 1934, 8.89867, 13.2
14, 17, FAST, FREAK, 1946, 11.0301, 11.2035

15, 0, FAST, SIFT, 1864, 6.64187e-317, 0
15, 1, FAST, SIFT, 1898, 12.2891, 12.389
15, 2, FAST, SIFT, 1865, 13.3547, 12.9542
15, 3, FAST, SIFT, 1840, 16.3845, 20.1084
15, 4, FAST, SIFT, 1867, 14.0764, 15.6665
15, 5, FAST, SIFT, 1876, 12.7299, -inf
15, 6, FAST, SIFT, 1843, 13.7511, 104.012
15, 7, FAST, SIFT, 1829, 13.7314, 12.828
15, 8, FAST, SIFT, 1843, 13.7901, 12.654
15, 9, FAST, SIFT, 1818, 12.059, 13.9299
15, 10, FAST, SIFT, 1879, 11.8642, 14.0994
15, 11, FAST, SIFT, 1849, 11.9682, 13.7952
15, 12, FAST, SIFT, 1826, 9.88711, 13.0986
15, 13, FAST, SIFT, 1842, 9.42504, 12.9542
15, 14, FAST, SIFT, 1833, 9.30215, 12.9772
15, 15, FAST, SIFT, 1921, 8.3212, 12.69
15, 16, FAST, SIFT, 1934, 8.89867, 14.5451
15, 17, FAST, SIFT, 1946, 11.0301, 12.1296

16, 0, BRISK, BRISK, 2896, 6.64187e-317, 0
16, 1, BRISK, BRISK, 3000, 12.2891, 17.4646
16, 2, BRISK, BRISK, 2974, 13.3547, 24.5712
16, 3, BRISK, BRISK, 2953, 16.3845, 17.774
16, 4, BRISK, BRISK, 2855, 14.0764, 18.1985
16, 5, BRISK, BRISK, 2906, 12.7299, 36.818
16, 6, BRISK, BRISK, 2886, 13.7511, 32.8591
16, 7, BRISK, BRISK, 2886, 13.7314, 26.3156
16, 8, BRISK, BRISK, 2893, 13.7901, 23.187
16, 9, BRISK, BRISK, 2930, 12.059, 19.6547
16, 10, BRISK, BRISK, 3022, 11.8642, 17.8854
16, 11, BRISK, BRISK, 3013, 11.9682, 18.1105
16, 12, BRISK, BRISK, 2949, 9.88711, 16.0183
16, 13, BRISK, BRISK, 3012, 9.42504, 17.0806
16, 14, BRISK, BRISK, 3026, 9.30215, 17.2662
16, 15, BRISK, BRISK, 3074, 8.3212, 16.1298
16, 16, BRISK, BRISK, 3131, 8.89867, 17.1374
16, 17, BRISK, BRISK, 3135, 11.0301, 12.1067

17, 0, BRISK, BRIEF, 2896, 6.64187e-317, 0
17, 1, BRISK, BRIEF, 3000, 12.2891, 14.9548
17, 2, BRISK, BRIEF, 2974, 13.3547, 24.0175
17, 3, BRISK, BRIEF, 2953, 16.3845, 18.1954
17, 4, BRISK, BRIEF, 2855, 14.0764, 23.2771
17, 5, BRISK, BRIEF, 2906, 12.7299, 26.1067
17, 6, BRISK, BRIEF, 2886, 13.7511, 57.741
17, 7, BRISK, BRIEF, 2886, 13.7314, 25.6031
17, 8, BRISK, BRIEF, 2893, 13.7901, 25.3425
17, 9, BRISK, BRIEF, 2930, 12.059, 20.804
17, 10, BRISK, BRIEF, 3022, 11.8642, 18.7392
17, 11, BRISK, BRIEF, 3013, 11.9682, 21.7496
17, 12, BRISK, BRIEF, 2949, 9.88711, 17.9731
17, 13, BRISK, BRIEF, 3012, 9.42504, 18.0805
17, 14, BRISK, BRIEF, 3026, 9.30215, 15.2003
17, 15, BRISK, BRIEF, 3074, 8.3212, 16.2813
17, 16, BRISK, BRIEF, 3131, 8.89867, 17.2715
17, 17, BRISK, BRIEF, 3135, 11.0301, 15.1356

18, 0, BRISK, ORB, 2896, 6.64187e-317, 0
18, 1, BRISK, ORB, 3000, 12.2891, 27.9741
18, 2, BRISK, ORB, 2974, 13.3547, 25.2936
18, 3, BRISK, ORB, 2953, 16.3845, 19.8467
18, 4, BRISK, ORB, 2855, 14.0764, 18.1195
18, 5, BRISK, ORB, 2906, 12.7299, 23.0596
18, 6, BRISK, ORB, 2886, 13.7511, 41.415
18, 7, BRISK, ORB, 2886, 13.7314, 22.9894
18, 8, BRISK, ORB, 2893, 13.7901, 23.6279
18, 9, BRISK, ORB, 2930, 12.059, 21.3039
18, 10, BRISK, ORB, 3022, 11.8642, 18.1552
18, 11, BRISK, ORB, 3013, 11.9682, 17.1905
18, 12, BRISK, ORB, 2949, 9.88711, 15.433
18, 13, BRISK, ORB, 3012, 9.42504, 18.682
18, 14, BRISK, ORB, 3026, 9.30215, 19.1591
18, 15, BRISK, ORB, 3074, 8.3212, 16.9906
18, 16, BRISK, ORB, 3131, 8.89867, 18.3864
18, 17, BRISK, ORB, 3135, 11.0301, 13.7654

19, 0, BRISK, FREAK, 2896, 6.64187e-317, 0
19, 1, BRISK, FREAK, 3000, 12.2891, 17.6183
19, 2, BRISK, FREAK, 2974, 13.3547, 28.4794
19, 3, BRISK, FREAK, 2953, 16.3845, 17.5877
19, 4, BRISK, FREAK, 2855, 14.0764, 15.3326
19, 5, BRISK, FREAK, 2906, 12.7299, 22.8722
19, 6, BRISK, FREAK, 2886, 13.7511, 21.5767
19, 7, BRISK, FREAK, 2886, 13.7314, 22.946
19, 8, BRISK, FREAK, 2893, 13.7901, 22.5083
19, 9, BRISK, FREAK, 2930, 12.059, 19.4361
19, 10, BRISK, FREAK, 3022, 11.8642, 14.0848
19, 11, BRISK, FREAK, 3013, 11.9682, 17.0096
19, 12, BRISK, FREAK, 2949, 9.88711, 12.841
19, 13, BRISK, FREAK, 3012, 9.42504, 16.2161
19, 14, BRISK, FREAK, 3026, 9.30215, 19.2073
19, 15, BRISK, FREAK, 3074, 8.3212, 18.0918
19, 16, BRISK, FREAK, 3131, 8.89867, 14.2153
19, 17, BRISK, FREAK, 3135, 11.0301, 11.8178

20, 0, BRISK, SIFT, 2896, 6.64187e-317, 0
20, 1, BRISK, SIFT, 3000, 12.2891, 13.7803
20, 2, BRISK, SIFT, 2974, 13.3547, 17.56
20, 3, BRISK, SIFT, 2953, 16.3845, 18.1195
20, 4, BRISK, SIFT, 2855, 14.0764, 13.9726
20, 5, BRISK, SIFT, 2906, 12.7299, 27.1705
20, 6, BRISK, SIFT, 2886, 13.7511, 19.1797
20, 7, BRISK, SIFT, 2886, 13.7314, 15.0417
20, 8, BRISK, SIFT, 2893, 13.7901, 16.7037
20, 9, BRISK, SIFT, 2930, 12.059, 16.2375
20, 10, BRISK, SIFT, 3022, 11.8642, 16.5498
20, 11, BRISK, SIFT, 3013, 11.9682, 12.1539
20, 12, BRISK, SIFT, 2949, 9.88711, 12.8353
20, 13, BRISK, SIFT, 3012, 9.42504, 13.4737
20, 14, BRISK, SIFT, 3026, 9.30215, 12.4274
20, 15, BRISK, SIFT, 3074, 8.3212, 13.7891
20, 16, BRISK, SIFT, 3131, 8.89867, 10.9408
20, 17, BRISK, SIFT, 3135, 11.0301, 11.7048

21, 0, ORB, BRISK, 500, 6.64187e-317, 0
21, 1, ORB, BRISK, 500, 12.2891, 37.4091
21, 2, ORB, BRISK, 500, 13.3547, -inf
21, 3, ORB, BRISK, 500, 16.3845, 38.9479
21, 4, ORB, BRISK, 500, 14.0764, 30.3836
21, 5, ORB, BRISK, 500, 12.7299, -inf
21, 6, ORB, BRISK, 500, 13.7511, -inf
21, 7, ORB, BRISK, 500, 13.7314, -inf
21, 8, ORB, BRISK, 500, 13.7901, -inf
21, 9, ORB, BRISK, 500, 12.059, -inf
21, 10, ORB, BRISK, 500, 11.8642, -inf
21, 11, ORB, BRISK, 500, 11.9682, 9.08104
21, 12, ORB, BRISK, 500, 9.88711, -inf
21, 13, ORB, BRISK, 500, 9.42504, 30.984
21, 14, ORB, BRISK, 500, 9.30215, 26.7724
21, 15, ORB, BRISK, 500, 8.3212, -inf
21, 16, ORB, BRISK, 500, 8.89867, -inf
21, 17, ORB, BRISK, 500, 11.0301, 22.3535

22, 0, ORB, BRIEF, 500, 6.64187e-317, 0
22, 1, ORB, BRIEF, 500, 12.2891, 32.5948
22, 2, ORB, BRIEF, 500, 13.3547, -inf
22, 3, ORB, BRIEF, 500, 16.3845, 225.682
22, 4, ORB, BRIEF, 500, 14.0764, 16.0492
22, 5, ORB, BRIEF, 500, 12.7299, 28.5453
22, 6, ORB, BRIEF, 500, 13.7511, -48.1523
22, 7, ORB, BRIEF, 500, 13.7314, -inf
22, 8, ORB, BRIEF, 500, 13.7901, -inf
22, 9, ORB, BRIEF, 500, 12.059, -inf
22, 10, ORB, BRIEF, 500, 11.8642, 358.948
22, 11, ORB, BRIEF, 500, 11.9682, 27.8765
22, 12, ORB, BRIEF, 500, 9.88711, 36.2234
22, 13, ORB, BRIEF, 500, 9.42504, -inf
22, 14, ORB, BRIEF, 500, 9.30215, 17.3569
22, 15, ORB, BRIEF, 500, 8.3212, -inf
22, 16, ORB, BRIEF, 500, 8.89867, 13.0006
22, 17, ORB, BRIEF, 500, 11.0301, 31.2518

23, 0, ORB, ORB, 500, 6.64187e-317, 0
23, 1, ORB, ORB, 500, 12.2891, -inf
23, 2, ORB, ORB, 500, 13.3547, -inf
23, 3, ORB, ORB, 500, 16.3845, 33.6015
23, 4, ORB, ORB, 500, 14.0764, -inf
23, 5, ORB, ORB, 500, 12.7299, -inf
23, 6, ORB, ORB, 500, 13.7511, -inf
23, 7, ORB, ORB, 500, 13.7314, -inf
23, 8, ORB, ORB, 500, 13.7901, -inf
23, 9, ORB, ORB, 500, 12.059, -inf
23, 10, ORB, ORB, 500, 11.8642, -inf
23, 11, ORB, ORB, 500, 11.9682, 10.8963
23, 12, ORB, ORB, 500, 9.88711, -inf
23, 13, ORB, ORB, 500, 9.42504, -inf
23, 14, ORB, ORB, 500, 9.30215, -inf
23, 15, ORB, ORB, 500, 8.3212, -inf
23, 16, ORB, ORB, 500, 8.89867, -inf
23, 17, ORB, ORB, 500, 11.0301, 27.6724

24, 0, ORB, FREAK, 500, 6.64187e-317, 0
24, 1, ORB, FREAK, 500, 12.2891, 12.2075
24, 2, ORB, FREAK, 500, 13.3547, -inf
24, 3, ORB, FREAK, 500, 16.3845, 10.9428
24, 4, ORB, FREAK, 500, 14.0764, 13.3485
24, 5, ORB, FREAK, 500, 12.7299, 743.012
24, 6, ORB, FREAK, 500, 13.7511, 29.8931
24, 7, ORB, FREAK, 500, 13.7314, -inf
24, 8, ORB, FREAK, 500, 13.7901, 11.9978
24, 9, ORB, FREAK, 500, 12.059, 19.0607
24, 10, ORB, FREAK, 500, 11.8642, -inf
24, 11, ORB, FREAK, 500, 11.9682, 8.34928
24, 12, ORB, FREAK, 500, 9.88711, 35.8488
24, 13, ORB, FREAK, 500, 9.42504, 9.30434
24, 14, ORB, FREAK, 500, 9.30215, 74.9719
24, 15, ORB, FREAK, 500, 8.3212, -inf
24, 16, ORB, FREAK, 500, 8.89867, 10.6762
24, 17, ORB, FREAK, 500, 11.0301, 11.3219

25, 0, ORB, SIFT, 500, 6.64187e-317, 0
25, 1, ORB, SIFT, 500, 12.2891, 16.7685
25, 2, ORB, SIFT, 500, 13.3547, 15.9385
25, 3, ORB, SIFT, 500, 16.3845, 12.3578
25, 4, ORB, SIFT, 500, 14.0764, 145.207
25, 5, ORB, SIFT, 500, 12.7299, 74.4793
25, 6, ORB, SIFT, 500, 13.7511, 15.3671
25, 7, ORB, SIFT, 500, 13.7314, 127.583
25, 8, ORB, SIFT, 500, 13.7901, 25.8334
25, 9, ORB, SIFT, 500, 12.059, -inf
25, 10, ORB, SIFT, 500, 11.8642, -inf
25, 11, ORB, SIFT, 500, 11.9682, 7.441
25, 12, ORB, SIFT, 500, 9.88711, -inf
25, 13, ORB, SIFT, 500, 9.42504, 169.33
25, 14, ORB, SIFT, 500, 9.30215, 75.7436
25, 15, ORB, SIFT, 500, 8.3212, -inf
25, 16, ORB, SIFT, 500, 8.89867, 13.239
25, 17, ORB, SIFT, 500, 11.0301, 21.3919

26, 0, AKAZE, BRISK, 1513, 6.64187e-317, 0
